City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Victor Harbor,AU,2021-10-07 22:22:10,-35.5667,138.6167,58.46,84,51,6.33
115,Charters Towers,AU,2021-10-07 22:22:10,-20.1,146.2667,75.29,63,14,16.24
116,Khawhai,IN,2021-10-07 22:22:10,23.3667,93.1167,58.14,99,56,1.74
117,Xichang,CN,2021-10-07 22:22:11,27.8964,102.2634,63.28,95,83,0.43
118,Hofn,IS,2021-10-07 22:22:11,64.2539,-15.2082,44.78,90,100,11.72
119,Turgenevo,RU,2021-10-07 22:22:11,54.8455,46.3297,39.6,69,2,2.66
120,Haines Junction,CA,2021-10-07 22:22:11,60.7522,-137.5108,40.95,65,100,3.44
121,Gizo,SB,2021-10-07 22:22:12,-8.103,156.8419,83.5,75,43,9.86
122,Prince Rupert,CA,2021-10-07 22:21:31,54.3161,-130.3201,47.89,81,90,20.71
123,Arraial Do Cabo,BR,2021-10-07 22:22:12,-22.9661,-42.0278,71.46,88,75,12.66
124,Leopoldov,SK,2021-10-07 22:22:12,48.4458,17.7646,57.04,84,94,4.65
125,Severo-Yeniseyskiy,RU,2021-10-07 22:22:13,60.3725,93.0408,32.16,98,100,4.56
126,San Policarpo,PH,2021-10-07 22:22:13,12.1791,125.5072,76.98,92,100,12.35
127,El Bagre,CO,2021-10-07 22:22:13,7.5927,-74.8086,80.44,95,98,2.55
128,Delta,NG,2021-10-07 22:22:14,5.5,6.0,75.09,92,87,2.8
129,Saint-Augustin,CA,2021-10-07 22:22:14,51.226,-58.6502,47.08,51,100,13.4
130,Mayumba,GA,2021-10-07 22:22:14,-3.432,10.6554,76.42,87,100,5.64
131,Chokurdakh,RU,2021-10-07 22:22:15,70.6333,147.9167,10.65,87,99,6.06
132,Cap Malheureux,MU,2021-10-07 22:22:15,-19.9842,57.6142,69.48,82,91,1.99
133,Nanortalik,GL,2021-10-07 22:22:15,60.1432,-45.2371,38.57,66,100,2.08
134,Margate,GB,2021-10-07 22:22:16,51.3813,1.3862,60.96,94,100,8.41
135,Codrington,AU,2021-10-07 22:22:16,-38.2667,141.9667,48.36,83,100,11.86
136,Uthal,PK,2021-10-07 22:22:16,25.8072,66.6219,82.11,74,82,5.68
137,San Cosme Y Damian,PY,2021-10-07 22:22:16,-27.3167,-56.35,75.38,61,2,11.52
138,Kapaa,US,2021-10-07 22:22:17,22.0752,-159.319,82.38,77,75,4.0
139,Batagay,RU,2021-10-07 22:22:17,67.6333,134.6333,28.04,53,100,8.81
140,Baykit,RU,2021-10-07 22:22:17,61.67,96.37,35.19,98,100,3.42
141,Isangel,VU,2021-10-07 22:22:18,-19.55,169.2667,78.91,69,20,6.91
142,Torbay,CA,2021-10-07 22:22:18,47.6666,-52.7314,49.28,69,75,4.61
143,Beidao,CN,2021-10-07 22:22:18,34.5686,105.8933,53.71,88,93,3.53
144,Novobelokatay,RU,2021-10-07 22:22:18,55.7062,58.9549,34.32,92,6,4.68
145,Gourcy,BF,2021-10-07 22:22:19,13.2167,-2.35,87.48,32,24,6.76
146,Hithadhoo,MV,2021-10-07 22:22:19,-0.6,73.0833,82.67,68,80,11.1
147,Hobart,AU,2021-10-07 22:21:58,-42.8794,147.3294,58.26,70,20,3.0
148,Komsomolskiy,UZ,2021-10-07 22:22:19,40.4272,71.7189,53.02,81,94,0.0
149,Brae,GB,2021-10-07 22:22:20,60.3964,-1.353,55.31,97,100,14.94
150,Aden,YE,2021-10-07 22:22:20,12.7794,45.0367,86.36,80,100,11.48
151,Fujinomiya,JP,2021-10-07 22:22:20,35.2167,138.6167,72.77,90,70,1.16
152,Walvis Bay,NA,2021-10-07 22:22:21,-22.9575,14.5053,56.08,82,0,4.61
153,Sao Filipe,CV,2021-10-07 22:22:21,14.8961,-24.4956,80.13,80,19,5.97
154,Jalu,LY,2021-10-07 22:22:21,29.0331,21.5482,74.48,30,0,6.55
155,Aksu,CN,2021-10-07 22:22:22,41.1231,80.2644,51.87,41,4,8.03
156,Tuni,IN,2021-10-07 22:22:22,17.35,82.55,77.81,91,12,3.15
157,Byron Bay,AU,2021-10-07 22:19:00,-28.65,153.6167,75.06,57,8,8.9
158,Haag,NL,2021-10-07 22:20:39,52.0767,4.2986,54.99,94,100,1.01
159,Bredasdorp,ZA,2021-10-07 22:22:22,-34.5322,20.0403,58.32,88,0,0.0
160,Lithakia,GR,2021-10-07 22:17:25,37.7167,20.8333,65.59,75,69,10.09
161,Maniitsoq,GL,2021-10-07 22:22:23,65.4167,-52.9,35.37,64,2,5.44
162,Chuy,UY,2021-10-07 22:22:23,-33.6971,-53.4616,48.72,74,1,6.8
163,Havre-Saint-Pierre,CA,2021-10-07 22:22:23,50.2334,-63.5986,50.0,81,90,5.75
164,Hasaki,JP,2021-10-07 22:22:24,35.7333,140.8333,70.29,82,60,14.41
165,Casper,US,2021-10-07 22:20:39,42.8666,-106.3131,72.19,30,1,13.0
166,Buala,SB,2021-10-07 22:22:24,-8.145,159.5921,83.05,77,12,6.55
167,Saldanha,ZA,2021-10-07 22:22:24,-33.0117,17.9442,57.25,97,15,13.65
168,Upernavik,GL,2021-10-07 22:22:25,72.7868,-56.1549,24.93,48,24,4.36
169,Los Llanos De Aridane,ES,2021-10-07 22:22:25,28.6585,-17.9182,69.55,89,40,8.05
170,Klaksvik,FO,2021-10-07 22:22:25,62.2266,-6.589,52.72,93,82,24.29
171,Butaritari,KI,2021-10-07 22:22:25,3.0707,172.7902,82.81,65,19,15.41
172,Ixtapa,MX,2021-10-07 22:22:26,20.7,-105.2,89.22,74,1,13.8
173,Sitka,US,2021-10-07 22:22:26,57.0531,-135.33,51.69,62,90,6.91
174,Hilo,US,2021-10-07 22:22:26,19.7297,-155.09,80.26,73,90,18.41
175,Nikolskoye,RU,2021-10-07 22:22:27,59.7035,30.7861,51.4,65,55,7.72
176,Narsaq,GL,2021-10-07 22:22:27,60.9167,-46.05,44.82,54,36,7.36
177,Ilulissat,GL,2021-10-07 22:22:27,69.2167,-51.1,26.62,54,6,3.44
178,Balclutha,NZ,2021-10-07 22:22:28,-46.2339,169.75,61.83,52,19,5.08
179,Pevek,RU,2021-10-07 22:22:28,69.7008,170.3133,23.7,82,96,6.49
180,Makakilo City,US,2021-10-07 22:22:28,21.3469,-158.0858,86.32,49,1,9.22
181,Corinto,GR,2021-10-07 22:21:39,37.9407,22.9573,68.41,69,81,4.25
182,Cuicatlan,MX,2021-10-07 22:22:29,17.8,-96.9667,82.53,55,63,6.2
183,Grand Gaube,MU,2021-10-07 22:22:29,-20.0064,57.6608,69.39,82,90,1.99
184,Todos Santos,MX,2021-10-07 22:22:29,23.45,-110.2167,96.01,67,0,5.75
185,Shingu,JP,2021-10-07 22:22:30,33.7333,135.9833,69.85,87,95,3.27
186,Brownwood,US,2021-10-07 22:21:12,31.7093,-98.9912,92.52,29,1,13.8
187,Dingle,PH,2021-10-07 22:22:30,10.9995,122.6711,77.16,86,100,2.26
188,Manthani,IN,2021-10-07 22:22:30,18.65,79.6667,76.51,91,68,0.34
189,Kalashnikovo,RU,2021-10-07 22:22:30,57.2824,35.2262,35.13,77,0,4.9
190,Geraldton,AU,2021-10-07 22:22:31,-28.7667,114.6,50.41,93,40,6.91
191,Capitao Poco,BR,2021-10-07 22:22:31,-1.7464,-47.0594,77.81,83,89,5.06
192,Lompoc,US,2021-10-07 22:22:31,34.6391,-120.4579,73.78,77,90,9.22
193,Lubango,AO,2021-10-07 22:22:32,-14.9172,13.4925,66.07,35,15,2.04
194,Nsanje,MW,2021-10-07 22:22:32,-16.92,35.262,71.44,73,2,5.46
195,Zwedru,LR,2021-10-07 22:22:32,6.0667,-8.1281,73.18,98,97,3.71
196,Chumikan,RU,2021-10-07 22:22:32,54.7183,135.315,35.51,84,35,18.66
197,Cayenne,GF,2021-10-07 22:22:33,4.9333,-52.3333,83.08,78,0,7.0
198,Cairns,AU,2021-10-07 22:22:02,-16.9167,145.7667,82.11,73,34,5.75
199,Kavieng,PG,2021-10-07 22:22:33,-2.5744,150.7967,82.26,74,35,4.25
200,Gillette,US,2021-10-07 22:19:10,44.2911,-105.5022,72.52,29,1,0.0
201,Paamiut,GL,2021-10-07 22:22:34,61.994,-49.6678,36.46,71,0,12.91
202,Samarai,PG,2021-10-07 22:22:34,-10.6167,150.6667,80.83,82,100,9.06
203,Marawi,PH,2021-10-07 22:22:34,7.9986,124.2928,67.64,94,99,2.3
204,Oussouye,SN,2021-10-07 22:22:35,12.485,-16.5469,86.18,82,90,4.36
205,Itoman,JP,2021-10-07 22:22:35,26.1247,127.6694,81.37,78,20,6.91
206,Jinan,CN,2021-10-07 22:22:35,36.6683,116.9972,57.9,82,100,4.36
207,Souillac,MU,2021-10-07 22:22:36,-20.5167,57.5167,69.37,88,75,11.5
208,Kidal,ML,2021-10-07 22:22:36,18.4411,1.4078,87.78,14,0,10.74
209,Comarapa,BO,2021-10-07 22:22:36,-17.9,-64.4833,60.91,80,72,3.91
210,College,US,2021-10-07 22:19:02,64.8569,-147.8028,39.58,95,90,6.91
211,Sao Felix Do Xingu,BR,2021-10-07 22:22:37,-6.6447,-51.995,84.2,49,90,2.46
212,Peru,US,2021-10-07 22:18:29,40.7537,-86.0689,77.49,73,75,9.22
213,Yamada,JP,2021-10-07 22:22:37,39.4667,141.95,65.79,89,99,3.18
214,Kaitangata,NZ,2021-10-07 22:22:37,-46.2817,169.8464,58.44,62,16,6.93
215,Nisia Floresta,BR,2021-10-07 22:22:38,-6.0911,-35.2086,81.41,81,54,11.9
216,Ilo,PE,2021-10-07 22:22:38,-17.6394,-71.3375,61.38,87,82,4.83
217,Indiaroba,BR,2021-10-07 22:22:38,-11.5192,-37.5117,72.64,85,97,3.94
218,Nizwa,OM,2021-10-07 22:22:38,22.9333,57.5333,81.23,54,0,1.36
219,Airai,TL,2021-10-07 22:22:39,-8.9266,125.4092,62.91,46,29,2.84
220,Iqaluit,CA,2021-10-07 22:22:39,63.7506,-68.5145,37.13,86,75,11.99
221,Koslan,RU,2021-10-07 22:20:19,63.4564,48.8989,42.33,80,2,12.24
222,Koupela,BF,2021-10-07 22:22:39,12.1794,-0.3517,86.52,42,65,8.57
223,Teknaf,BD,2021-10-07 22:22:40,20.8624,92.3058,78.37,90,88,3.71
224,Artyshta,RU,2021-10-07 22:22:40,54.1222,86.2909,32.32,98,100,12.19
225,Kachiry,KZ,2021-10-07 22:22:40,53.0675,76.1036,39.34,86,100,10.0
226,Bilma,NE,2021-10-07 22:22:41,18.6853,12.9164,81.84,19,0,5.01
227,Saskylakh,RU,2021-10-07 22:22:41,71.9167,114.0833,-0.51,99,24,4.54
228,Ponta Do Sol,PT,2021-10-07 22:22:41,32.6667,-17.1,72.23,76,14,1.7
229,Tilichiki,RU,2021-10-07 22:22:41,60.4667,166.1,28.89,56,91,6.29
230,Luderitz,NA,2021-10-07 22:22:42,-26.6481,15.1594,56.84,78,3,4.99
231,Moranbah,AU,2021-10-07 22:22:42,-22.0016,148.0466,72.82,69,17,9.91
232,Pisco,PE,2021-10-07 22:22:42,-13.7,-76.2167,66.25,72,0,23.02
233,Khandyga,RU,2021-10-07 22:22:43,62.6667,135.6,24.66,91,93,5.59
234,Dombarovskiy,RU,2021-10-07 22:21:11,50.7587,59.5386,38.48,55,22,5.21
235,Faanui,PF,2021-10-07 22:22:43,-16.4833,-151.75,78.78,73,20,7.85
236,Hirara,JP,2021-10-07 22:22:44,24.8,125.2833,79.07,89,20,5.75
237,Castlemaine,AU,2021-10-07 22:22:44,-37.0667,144.2167,52.34,75,80,5.19
238,Guatire,VE,2021-10-07 22:22:44,10.4762,-66.5427,80.2,89,43,3.18
239,Tiznit,MA,2021-10-07 22:22:45,29.5833,-9.5,69.03,51,7,1.88
240,Kodiak,US,2021-10-07 22:22:45,57.79,-152.4072,51.31,71,1,11.5
241,Esperance,AU,2021-10-07 22:22:45,-33.8667,121.9,59.0,80,100,16.93
242,Beitbridge,ZW,2021-10-07 22:22:45,-22.2167,30.0,70.05,66,37,15.23
243,Treinta Y Tres,UY,2021-10-07 22:22:46,-33.2333,-54.3833,51.21,72,11,7.36
244,Suluq,LY,2021-10-07 22:22:46,31.6682,20.2521,72.46,39,0,4.09
245,Lagoa,PT,2021-10-07 22:22:47,39.05,-27.9833,68.94,69,1,8.59
246,Saint-Leu,RE,2021-10-07 22:22:47,-21.15,55.2833,67.06,78,61,6.67
247,Qaqortoq,GL,2021-10-07 22:22:47,60.7167,-46.0333,45.1,55,49,5.5
248,Axim,GH,2021-10-07 22:22:48,4.8699,-2.2405,77.16,88,95,5.68
249,Saint-Georges,GD,2021-10-07 22:18:30,12.0564,-61.7485,83.88,79,20,13.8
250,Piacabucu,BR,2021-10-07 22:22:48,-10.4056,-36.4344,75.47,82,94,8.59
251,Rochegda,RU,2021-10-07 22:22:48,62.8,43.25,43.59,75,1,10.31
252,Vila Velha,BR,2021-10-07 22:22:49,-20.3297,-40.2925,76.95,94,75,9.22
253,Kongolo,CD,2021-10-07 22:22:49,-5.3833,27.0,74.75,66,63,1.23
254,Nis,FR,2021-10-07 22:22:49,43.7031,7.2661,68.41,50,0,11.5
255,Coldingham,GB,2021-10-07 22:22:50,55.8868,-2.157,63.05,89,100,14.0
256,Qasigiannguit,GL,2021-10-07 22:22:50,68.8193,-51.1922,26.85,80,10,4.12
257,Muyezerskiy,RU,2021-10-07 22:22:50,63.9333,31.65,47.37,89,94,11.5
258,The Valley,AI,2021-10-07 22:22:51,18.217,-63.0578,85.86,74,20,13.8
259,Hambantota,LK,2021-10-07 22:22:52,6.1241,81.1185,79.79,83,94,12.39
260,Sao Joao Da Barra,BR,2021-10-07 22:22:52,-21.6403,-41.0511,72.32,86,96,21.27
261,Mildura,AU,2021-10-07 22:19:04,-34.2,142.15,59.07,47,87,9.22
