City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
518,Sungaipenuh,ID,-2.0833,101.3833,76.12,72,86,2.28,overcast clouds
519,Riyadh,SA,24.6877,46.7219,73.54,21,0,4.88,clear sky
520,Mwinilunga,ZM,-11.7358,24.4293,64.27,38,0,2.59,clear sky
521,Payo,ID,-3.7508,103.6372,89.29,56,15,2.01,few clouds
522,Somvarpet,IN,12.6,75.8667,69.64,89,77,5.35,broken clouds
523,Verkhoyansk,RU,67.5447,133.385,28.18,48,100,6.69,overcast clouds
524,Sola,VU,-13.8833,167.55,79.61,80,83,19.51,broken clouds
525,Guane,CU,22.2025,-84.0875,77.76,88,100,4.54,overcast clouds
526,Quime,BO,-16.9833,-67.2167,51.57,89,94,3.74,overcast clouds
527,Portland,US,45.5234,-122.6762,55.99,77,20,1.99,few clouds
528,Viedma,AR,-40.8135,-62.9967,55.71,52,0,17.16,clear sky
529,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,67.89,76,92,10.4,overcast clouds
530,Pochutla,MX,15.7432,-96.4661,80.82,82,100,3.69,overcast clouds
531,Varhaug,NO,58.6147,5.6457,56.89,92,97,13.06,overcast clouds
532,Ambon,ID,-3.6954,128.1814,82.54,83,40,6.91,scattered clouds
533,Cairns,AU,-16.9167,145.7667,90.95,52,40,10.36,scattered clouds
534,Koumac,NC,-20.5667,164.2833,75.33,62,22,10.89,few clouds
535,Puntarenas,CR,9.9763,-84.8384,80.53,87,99,4.68,overcast clouds
536,Coahuayana,MX,18.7333,-103.6833,85.48,90,99,2.44,overcast clouds
537,Malaya Serdoba,RU,52.4661,44.9512,37.98,77,4,4.61,clear sky
538,Flin Flon,CA,54.7682,-101.865,42.84,49,3,5.91,clear sky
539,Beoumi,CI,7.6736,-5.5764,76.78,97,100,3.51,overcast clouds
540,Kantang,TH,7.4054,99.5156,84.29,89,20,10.36,few clouds
541,Kirakira,SB,-10.4544,161.9205,82.69,75,100,6.91,overcast clouds
542,Encheng,CN,22.1839,112.3026,76.87,97,100,23.8,moderate rain
543,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,3.44,mist
544,Saint-Joseph,RE,-21.3667,55.6167,68.38,79,54,14.88,light rain
545,Belmonte,BR,-15.8631,-38.8828,75.7,92,92,9.44,overcast clouds
546,Salo,IT,45.6086,10.531,60.1,79,100,1.88,overcast clouds
